# gain=MAX atime_ms=100 simulated=0
t_s,ch0,ch1
143.2022,10790,2298
143.3161,10787,2299
143.4300,10786,2298
143.5440,10787,2299
143.6579,10787,2297
143.7718,10787,2299
143.8857,10787,2298
143.9997,10784,2297
144.1136,10784,2298
144.2276,10782,2298
144.3415,10783,2298
144.4554,10784,2299
144.5693,10787,2297
144.6833,10786,2298
144.7972,10785,2298
144.9111,10784,2299
145.0250,10787,2298
145.1389,10788,2298
145.2530,10786,2298
145.3669,10788,2298
145.4808,10788,2297
145.5948,10784,2299
145.7087,10786,2299
145.8226,10785,2298
145.9366,10784,2298
146.0505,10784,2297
146.1645,10785,2298
146.2784,10787,2298
146.3923,10785,2298
146.5062,10786,2298
146.6202,10784,2297
146.7343,10784,2297
146.8483,10787,2297
146.9623,10788,2299
147.0762,10787,2297
147.1902,10789,2298
147.3042,10788,2299
147.4181,10788,2298
147.5320,10788,2299
147.6459,10790,2298
147.7598,10789,2298
147.8746,10788,2298
147.9898,10787,2297
148.1050,10785,2300
148.2202,10784,2299
148.3353,10786,2297
148.4505,10784,2298
148.5652,10786,2299
148.6792,10784,2297
148.7931,10782,2297
148.9071,10784,2297
149.0210,10782,2299
149.1349,10786,2298
149.2488,10782,2297
149.3627,10782,2297
149.4767,10783,2298
149.5906,10782,2297
149.7045,10785,2298
149.8184,10783,2297
149.9323,10784,2296
150.0463,10784,2297
150.1602,10782,2298
150.2741,10781,2298
150.3881,10780,2298
150.5020,10783,2297
150.6159,10782,2297
150.7298,10781,2297
150.8437,10780,2297
150.9577,10781,2296
151.0716,10779,2296
151.1856,10780,2297
151.2996,10779,2296
151.4135,10779,2298
151.5274,10780,2296
151.6413,10779,2296
151.7554,10775,2297
151.8693,10777,2297
151.9833,10780,2297
152.0972,10783,2298
152.2111,10782,2297
152.3250,10781,2298
152.4390,10782,2297
152.5529,10781,2297
152.6668,10780,2298
152.7807,10776,2296
152.8946,10778,2297
153.0086,10779,2296
153.1226,10779,2296
153.2365,10779,2298
153.3505,10780,2297
153.4644,10781,2297
153.5783,10781,2295
153.6936,10779,2297
153.8087,10780,2297
153.9240,10782,2297
154.0391,10780,2296
154.1544,10782,2296
154.2691,10776,2296
154.3831,10777,2296
154.4970,10778,2297
154.6109,10779,2296
154.7248,10780,2297
154.8387,10778,2295
154.9527,10776,2296
155.0666,10774,2296
155.1805,10777,2295
155.2945,10777,2296
155.4084,10776,2296
155.5223,10775,2295
155.6362,10775,2296
155.7502,10776,2296
155.8641,10776,2295
155.9780,10774,2296
156.0919,10778,2296
156.2058,10774,2296
156.3197,10777,2297
156.4337,10774,2296
156.5476,10771,2297
156.6615,10773,2296
156.7754,10773,2296
156.8895,10774,2296
157.0037,10772,2296
157.1176,10772,2295
157.2317,10773,2296
157.3457,10773,2295
157.4596,10772,2296
157.5735,10771,2296
157.6875,10774,2297
157.8014,10775,2297
157.9153,10769,2297
158.0292,10773,2295
158.1433,10772,2296
158.2572,10771,2296
158.3712,10769,2295
158.4851,10771,2295
158.5990,10770,2297
158.7129,10771,2296
158.8269,10772,2295
158.9408,10771,2295
159.0547,10771,2294
159.1686,10767,2295
159.2833,10770,2295
159.3985,10769,2295
159.5137,10770,2295
159.6289,10771,2295
159.7441,10770,2294
159.8593,10771,2295
159.9740,10773,2296
160.0879,10771,2296
160.2019,10778,2296
160.3158,10771,2294
160.4297,10770,2295
160.5437,10771,2294
160.6576,10770,2296
160.7715,10770,2292
160.8854,10770,2295
160.9994,10771,2295
161.1133,10771,2294
161.2272,10767,2295
161.3411,10770,2295
161.4551,10768,2294
161.5690,10767,2295
161.6829,10769,2295
161.7968,10768,2295
161.9107,10768,2294
162.0246,10765,2295
162.1386,10766,2295
162.2527,10764,2295
162.3666,10765,2295
162.4805,10769,2295
162.5944,10767,2295
162.7084,10768,2295
162.8223,10765,2296
162.9362,10764,2296
163.0502,10765,2293
163.1642,10766,2295
163.2782,10764,2295
163.3921,10762,2294
163.5060,10764,2296
163.6200,10765,2295
163.7339,10764,2295
163.8478,10764,2295
163.9617,10765,2296
164.0757,10767,2295
164.1896,10766,2294
164.3035,10764,2293
164.4175,10763,2294
164.5314,10763,2295
164.6453,10763,2294
164.7592,10762,2294
164.8731,10759,2294
164.9878,10762,2294
165.1030,10761,2295
165.2182,10758,2294
165.3334,10765,2294
165.4486,10766,2294
165.5638,10759,2295
165.6784,10759,2294
165.7924,10758,2293
165.9063,10764,2295
166.0203,10761,2293
166.1342,10763,2294
166.2481,10763,2293
166.3621,10761,2294
166.4760,10762,2294
166.5899,10759,2293
166.7038,10757,2293
166.8177,10761,2294
166.9316,10761,2294
167.0456,10761,2292
167.1595,10762,2294
167.2736,10762,2293
167.3877,10761,2293
167.5016,10760,2292
167.6156,10761,2294
167.7297,10761,2294
167.8438,10761,2295
167.9578,10759,2295
168.0717,10760,2294
168.1856,10763,2295
168.2996,10763,2292
168.4135,10765,2293
168.5274,10763,2293
168.6413,10763,2295
168.7553,10760,2294
168.8692,10760,2293
168.9831,10760,2294
169.0971,10760,2293
169.2111,10759,2295
169.3251,10758,2294
169.4390,10758,2293
169.5529,10756,2293
169.6668,10757,2294
169.7807,10760,2294
169.8946,10756,2293
170.0086,10757,2293
170.1225,10759,2294
170.2365,10755,2292
170.3504,10757,2293
170.4643,10756,2293
170.5782,10754,2292
170.6929,10759,2292
170.8081,10756,2292
170.9234,10757,2293
171.0386,10757,2293
171.1538,10756,2293
171.2689,10758,2292
171.3837,10757,2294
171.4976,10757,2293
171.6116,10757,2293
171.7255,10753,2293
171.8394,10757,2292
171.9533,10755,2292
172.0672,10761,2293
172.1812,10758,2293
172.2951,10754,2293
172.4090,10755,2294
172.5229,10757,2292
172.6368,10755,2293
172.7507,10756,2294
172.8647,10754,2293
172.9786,10755,2293
173.0925,10752,2292
173.2066,10757,2293
173.3205,10751,2292
173.4344,10753,2292
173.5483,10756,2293
173.6623,10755,2293
173.7762,10755,2293
173.8901,10754,2293
174.0041,10754,2294
174.1180,10755,2293
174.2319,10756,2293
174.3458,10754,2293
174.4598,10754,2291
174.5737,10751,2293
174.6876,10752,2293
174.8015,10750,2293
174.9154,10749,2292
175.0294,10753,2292
175.1433,10755,2291
175.2574,10753,2292
175.3713,10751,2293
175.4852,10752,2292
175.5992,10754,2293
175.7131,10754,2293
175.8271,10755,2292
175.9410,10753,2291
176.0549,10751,2293
176.1688,10748,2293
176.2827,10751,2292
176.3974,10748,2293
176.5126,10751,2292
176.6278,10754,2291
176.7430,10750,2293
176.8582,10749,2292
176.9735,10749,2292
177.0883,10754,2293
177.2022,10752,2293
177.3161,10751,2292
177.4302,10752,2291
177.5443,10751,2293
177.6583,10751,2293
177.7722,10750,2292
177.8861,10750,2292
178.0001,10750,2292
178.1142,10750,2293
178.2281,10749,2292
178.3421,10752,2293
178.4560,10753,2291
178.5699,10755,2292
178.6838,10751,2293
178.7977,10749,2291
178.9117,10752,2294
179.0256,10753,2292
179.1395,10749,2292
179.2534,10747,2293
179.3673,10749,2291
179.4813,10752,2291
179.5952,10746,2291
179.7091,10751,2292
179.8230,10750,2292
179.9369,10755,2291
180.0508,10750,2291
180.1648,10749,2291
180.2787,10747,2291
180.3926,10747,2291
180.5065,10745,2292
180.6204,10746,2292
180.7343,10746,2291
180.8482,10749,2292
180.9622,10749,2292
181.0761,10748,2291
181.1902,10749,2292
181.3041,10750,2290
181.4180,10749,2293
181.5319,10749,2291
181.6459,10744,2291
181.7598,10749,2291
181.8737,10747,2293
181.9877,10745,2291
182.1024,10747,2291
182.2177,10748,2293
182.3328,10747,2291
182.4481,10747,2290
182.5632,10747,2291
182.6784,10747,2292
182.7932,10744,2290
182.9074,10747,2290
183.0213,10743,2290
183.1353,10745,2292
183.2492,10746,2291
183.3632,10745,2291
183.4772,10745,2291
183.5911,10744,2290
183.7050,10744,2291
183.8189,10745,2291
183.9328,10749,2290
184.0468,10746,2290
184.1607,10745,2291
184.2746,10745,2292
184.3885,10745,2290
184.5024,10744,2291
184.6164,10745,2291
184.7303,10746,2291
184.8442,10746,2290
184.9581,10745,2290
185.0720,10742,2292
185.1859,10743,2290
185.2999,10743,2290
185.4138,10744,2290
185.5277,10746,2291
185.6416,10745,2292
185.7555,10746,2291
185.8694,10744,2290
185.9833,10745,2290
186.0973,10745,2291
186.2112,10744,2290
186.3252,10744,2291
186.4391,10742,2289
186.5530,10738,2290
186.6669,10741,2289
186.7808,10742,2291
186.8947,10746,2290
187.0087,10740,2290
187.1226,10745,2290
187.2367,10741,2290
187.3506,10744,2291
187.4645,10743,2289
187.5784,10743,2291
187.6926,10744,2290
187.8066,10740,2290
187.9217,10738,2289
188.0371,10739,2291
188.1523,10741,2290
188.2678,10740,2290
188.3830,10741,2291
188.4977,10741,2289
188.6117,10742,2291
188.7256,10740,2290
188.8395,10743,2290
188.9535,10746,2289
189.0674,10743,2290
189.1813,10744,2292
189.2952,10743,2290
189.4092,10747,2291
189.5231,10743,2290
189.6370,10744,2289
189.7509,10743,2290
189.8648,10745,2290
189.9787,10742,2291
190.0927,10743,2290
190.2066,10745,2291
190.3206,10744,2290
190.4345,10744,2290
190.5484,10742,2290
190.6623,10743,2291
190.7763,10744,2290
190.8902,10745,2290
191.0041,10742,2291
191.1180,10743,2290
191.2320,10741,2290
191.3459,10743,2290
191.4598,10741,2290
191.5737,10741,2290
191.6876,10740,2290
191.8015,10740,2289
191.9155,10741,2288
192.0294,10744,2289
192.1433,10743,2289
192.2573,10740,2290
192.3712,10741,2288
192.4852,10742,2289
192.5991,10745,2290
192.7130,10743,2289
192.8269,10744,2289
192.9409,10742,2289
193.0549,10741,2289
193.1689,10738,2289
193.2828,10739,2289
193.3968,10741,2289
193.5107,10742,2289
193.6259,10740,2289
193.7411,10743,2288
193.8563,10740,2289
193.9715,10739,2289
194.0867,10742,2290
194.2013,10739,2288
194.3153,10741,2290
194.4292,10742,2290
194.5432,10740,2290
194.6571,10740,2288
194.7710,10739,2289
194.8849,10738,2288
194.9988,10740,2289
195.1127,10734,2289
195.2267,10740,2289
195.3406,10739,2289
195.4545,10739,2288
195.5684,10740,2288
195.6823,10741,2290
195.7963,10743,2289
195.9102,10740,2288
196.0241,10740,2289
196.1380,10739,2289
196.2519,10741,2289
196.3658,10739,2290
196.4797,10741,2289
196.5936,10739,2289
196.7076,10739,2289
196.8215,10734,2289
196.9354,10737,2290
197.0493,10735,2290
197.1632,10737,2290
197.2772,10735,2288
197.3912,10737,2289
197.5051,10737,2289
197.6190,10737,2289
197.7329,10736,2289
197.8468,10736,2289
197.9609,10736,2288
198.0749,10732,2288
198.1888,10736,2289
198.3027,10733,2289
198.4167,10735,2288
198.5306,10736,2287
198.6445,10735,2288
198.7585,10731,2287
198.8724,10732,2288
198.9863,10734,2288
199.1003,10735,2289
199.2151,10738,2289
199.3303,10739,2289
199.4455,10737,2288
199.5607,10736,2290
199.6758,10734,2289
199.7911,10735,2289
199.9058,10736,2289
200.0197,10738,2289
200.1336,10733,2288
200.2476,10731,2289
200.3615,10733,2288
200.4754,10732,2287
200.5893,10731,2288
200.7032,10731,2288
200.8171,10734,2287
200.9311,10730,2287
201.0450,10732,2288
201.1589,10732,2287
201.2728,10729,2287
201.3867,10732,2288
201.5006,10729,2288
201.6146,10730,2287
201.7285,10731,2288
201.8424,10732,2288
201.9563,10732,2289
202.0702,10733,2289
202.1842,10731,2289
202.2981,10731,2288
202.4120,10729,2288
202.5259,10731,2288
202.6398,10728,2288
202.7538,10725,2288
202.8677,10728,2288
202.9816,10728,2288
203.0955,10726,2288
203.2096,10728,2288
203.3235,10729,2287
203.4374,10724,2288
203.5514,10729,2287
203.6653,10726,2287
203.7792,10730,2288
203.8932,10727,2287
204.0071,10728,2287
204.1210,10729,2288
204.2349,10727,2288
204.3488,10728,2286
204.4627,10729,2288
204.5766,10729,2287
204.6906,10727,2288
204.8045,10729,2288
204.9184,10726,2287
205.0339,10727,2288
205.1492,10729,2286
205.2646,10730,2287
205.3798,10726,2288
205.4950,10728,2288
205.6098,10728,2288
205.7237,10725,2287
205.8377,10727,2287
205.9516,10725,2288
206.0655,10730,2287
206.1794,10729,2287
206.2934,10730,2287
206.4073,10730,2288
206.5212,10729,2288
206.6351,10728,2288
206.7490,10723,2288
206.8630,10726,2288
206.9769,10724,2288
207.0909,10726,2286
207.2048,10728,2289
207.3188,10725,2286
207.4327,10728,2287
207.5466,10726,2287
207.6605,10726,2288
207.7744,10723,2286
207.8883,10727,2287
208.0023,10725,2286
208.1162,10724,2286
208.2303,10728,2288
208.3443,10726,2287
208.4583,10724,2287
208.5722,10725,2288
208.6862,10725,2287
208.8001,10724,2287
208.9140,10724,2288
209.0279,10725,2288
209.1418,10723,2287
209.2558,10725,2287
209.3697,10724,2288
209.4836,10725,2286
209.5975,10725,2287
209.7114,10728,2288
209.8254,10728,2287
209.9393,10727,2286
210.0532,10727,2288
210.1671,10726,2287
210.2810,10729,2285
210.3949,10730,2287
210.5089,10725,2286
210.6237,10726,2287
210.7388,10725,2286
210.8540,10726,2287
210.9692,10724,2286
211.0846,10725,2286
211.1999,10726,2287
211.3151,10725,2287
211.4298,10725,2286
211.5448,10723,2286
211.6600,10723,2286
211.7752,10721,2286
211.8904,10722,2287
212.0056,10721,2287
212.1207,10722,2287
212.2359,10722,2285
212.3511,10721,2287
212.4663,10722,2287
212.5815,10721,2286
212.6967,10719,2286
212.8118,10724,2285
212.9271,10721,2286
213.0422,10721,2286
213.1574,10721,2285
213.2726,10717,2286
213.3878,10720,2286
213.5029,10721,2286
213.6181,10720,2286
213.7333,10720,2285
213.8486,10720,2287
213.9638,10718,2286
214.0790,10719,2286
214.1942,10719,2287
214.3094,10719,2287
214.4246,10719,2286
214.5398,10718,2286
214.6550,10717,2287
214.7701,10717,2287
214.8854,10719,2288
215.0006,10717,2288
215.1158,10720,2287
215.2309,10721,2287
215.3461,10720,2288
215.4613,10719,2289
215.5764,10720,2287
215.6917,10722,2287
215.8068,10721,2286
215.9220,10720,2286
216.0371,10721,2285
216.1523,10721,2286
216.2675,10721,2286
216.3827,10719,2286
216.4980,10721,2287
216.6132,10719,2286
216.7284,10719,2288
216.8437,10717,2286
216.9588,10718,2287
217.0736,10720,2286
217.1876,10718,2285
217.3016,10720,2286
217.4155,10720,2287
217.5294,10721,2286
217.6434,10718,2287
217.7573,10720,2286
217.8713,10721,2287
217.9852,10722,2285
218.0991,10721,2285
218.2131,10720,2286
218.3270,10724,2286
218.4411,10723,2287
218.5551,10721,2286
218.6690,10722,2286
218.7829,10718,2287
218.8969,10719,2287
219.0108,10716,2287
219.1247,10722,2288
219.2386,10719,2287
219.3526,10718,2287
219.4665,10719,2287
219.5804,10717,2286
219.6943,10717,2287
219.8082,10718,2287
219.9222,10719,2287
220.0361,10716,2286
220.1500,10718,2287
220.2639,10719,2287
220.3778,10718,2286
220.4917,10716,2287
220.6056,10717,2285
220.7196,10717,2286
220.8335,10714,2286
220.9474,10715,2285
221.0613,10716,2286
221.1752,10716,2285
221.2892,10717,2286
221.4031,10714,2286
221.5170,10712,2288
221.6309,10714,2285
221.7448,10714,2286
221.8587,10715,2284
221.9727,10715,2285
222.0866,10715,2285
222.2018,10715,2285
222.3170,10713,2284
222.4321,10715,2284
222.5473,10714,2284
222.6625,10711,2284
222.7772,10714,2284
222.8912,10711,2286
223.0051,10711,2285
223.1192,10710,2284
223.2333,10709,2285
223.3472,10711,2285
223.4612,10712,2285
223.5751,10711,2285
223.6891,10710,2285
223.8030,10711,2285
223.9169,10712,2284
224.0309,10708,2284
224.1448,10710,2284
224.2587,10709,2285
224.3726,10712,2284
224.4865,10711,2284
224.6004,10712,2286
224.7143,10711,2284
224.8283,10713,2285
224.9422,10712,2286
225.0561,10712,2285
225.1700,10711,2286
225.2839,10713,2285
225.3978,10709,2285
225.5117,10712,2285
225.6256,10712,2284
225.7396,10710,2286
225.8535,10711,2285
225.9674,10710,2285
226.0813,10713,2285
226.1952,10714,2284
226.3092,10715,2285
226.4231,10711,2285
226.5370,10709,2286
226.6509,10711,2286
226.7649,10709,2284
226.8788,10707,2284
226.9927,10712,2284
227.1066,10707,2284
227.2206,10707,2284
227.3345,10709,2285
227.4485,10709,2285
227.5624,10707,2284
227.6763,10708,2284
227.7912,10707,2284
227.9065,10708,2285
228.0217,10709,2285
228.1369,10709,2284
228.2521,10708,2283
228.3674,10707,2284
228.4821,10707,2284
228.5960,10707,2285
228.7101,10710,2284
228.8241,10708,2285
228.9380,10709,2286
229.0519,10706,2284
229.1660,10710,2284
229.2800,10712,2285
229.3939,10712,2285
229.5078,10710,2285
229.6217,10708,2285
229.7357,10707,2285
229.8496,10710,2285
229.9635,10709,2283
230.0774,10708,2285
230.1914,10708,2285
230.3053,10707,2284
230.4192,10710,2284
230.5331,10709,2285
230.6470,10711,2285
230.7609,10713,2286
230.8749,10713,2285
230.9888,10712,2285
231.1027,10709,2286
231.2166,10710,2286
231.3306,10709,2286
231.4445,10709,2285
231.5584,10710,2285
231.6723,10712,2285
231.7863,10714,2285
231.9002,10711,2284
232.0141,10711,2285
232.1280,10709,2285
232.2419,10708,2285
232.3558,10708,2283
232.4697,10708,2284
232.5837,10706,2285
232.6976,10708,2284
232.8115,10707,2283
232.9254,10711,2283
233.0393,10706,2283
233.1532,10709,2285
233.2672,10709,2284
233.3811,10710,2285
233.4951,10711,2284
233.6102,10707,2285
233.7254,10708,2284
233.8406,10710,2284
233.9560,10708,2283
234.0712,10706,2282
234.1859,10709,2284
234.2999,10707,2283
234.4138,10707,2284
234.5277,10706,2284
234.6416,10705,2284
234.7556,10705,2283
234.8695,10702,2283
234.9834,10706,2282
235.0973,10706,2282
235.2114,10704,2283
235.3253,10706,2283
235.4392,10706,2284
235.5531,10705,2283
235.6671,10709,2283
235.7810,10707,2283
235.8949,10712,2285
236.0088,10710,2283
236.1227,10708,2284
236.2366,10704,2283
236.3508,10705,2283
236.4647,10705,2284
236.5786,10706,2285
236.6926,10704,2283
236.8065,10707,2284
236.9204,10706,2284
237.0344,10706,2283
237.1483,10707,2285
237.2622,10704,2283
237.3761,10704,2283
237.4900,10704,2283
237.6039,10704,2283
237.7179,10705,2283
237.8318,10706,2285
237.9457,10707,2284
238.0596,10706,2284
238.1735,10706,2285
238.2875,10706,2284
238.4014,10705,2284
238.5153,10705,2284
238.6292,10705,2285
238.7432,10703,2284
238.8571,10705,2284
238.9713,10704,2284
239.0852,10703,2284
239.1999,10701,2284
239.3153,10705,2283
239.4305,10709,2284
239.5457,10706,2285
239.6609,10705,2285
239.7760,10704,2285
239.8908,10706,2283
240.0047,10707,2283
240.1187,10703,2283
240.2326,10705,2284
240.3465,10704,2283
240.4605,10707,2285
240.5744,10707,2285
240.6883,10707,2284
240.8022,10708,2283
240.9161,10705,2284
241.0300,10705,2285
241.1440,10704,2284
241.2580,10702,2284
241.3719,10706,2284
241.4859,10707,2285
241.5998,10707,2284
241.7137,10705,2285
241.8277,10704,2284
241.9416,10701,2283
242.0555,10704,2284
242.1694,10705,2283
242.2834,10705,2284
242.3973,10708,2284
242.5112,10706,2284
242.6252,10705,2283
242.7391,10709,2284
242.8530,10705,2284
242.9669,10704,2283
243.0808,10705,2284
243.1948,10701,2284
243.3087,10707,2283
243.4226,10704,2283
243.5366,10706,2284
243.6505,10700,2284
243.7644,10700,2284
243.8783,10702,2283
243.9924,10706,2283
244.1064,10706,2283
244.2203,10705,2283
244.3343,10705,2283
244.4482,10702,2283
244.5622,10706,2284
244.6762,10701,2284
244.7901,10701,2284
244.9041,10702,2284
245.0193,10705,2284
245.1345,10703,2283
245.2497,10701,2284
245.3649,10701,2283
245.4800,10703,2284
245.5948,10702,2284
245.7087,10703,2284
245.8227,10700,2284
245.9366,10700,2284
246.0506,10699,2284
246.1645,10699,2282
246.2784,10700,2282
246.3923,10700,2283
246.5063,10699,2282
246.6202,10703,2283
246.7341,10699,2283
246.8480,10698,2283
246.9619,10700,2284
247.0759,10699,2284
247.1899,10698,2284
247.3039,10699,2283
247.4178,10700,2283
247.5317,10699,2284
247.6456,10700,2284
247.7595,10701,2284
247.8735,10700,2283
247.9874,10703,2285
248.1013,10700,2283
248.2152,10700,2283
248.3292,10699,2283
248.4431,10697,2283
248.5570,10698,2283
248.6709,10698,2284
248.7848,10699,2284
248.8988,10699,2284
249.0127,10695,2282
249.1266,10696,2282
249.2407,10695,2283
249.3547,10697,2281
249.4686,10695,2281
249.5825,10695,2282
249.6966,10697,2283
249.8105,10693,2283
249.9244,10694,2283
250.0383,10694,2284
250.1523,10697,2283
250.2663,10698,2282
250.3802,10698,2284
250.4941,10697,2284
250.6088,10696,2283
250.7241,10693,2282
250.8393,10698,2283
250.9545,10694,2282
251.0697,10696,2283
251.1849,10695,2283
251.2996,10696,2284
251.4136,10695,2282
251.5275,10697,2283
251.6414,10696,2281
251.7554,10700,2282
251.8693,10697,2283
251.9833,10695,2282
252.0972,10695,2282
252.2111,10696,2282
252.3250,10694,2282
252.4389,10693,2283
252.5528,10695,2281
252.6667,10696,2281
252.7807,10696,2282
252.8946,10695,2281
253.0085,10696,2283
253.1224,10696,2282
253.2365,10695,2282
253.3504,10696,2281
253.4643,10696,2282
253.5782,10693,2282
253.6922,10695,2283
253.8061,10694,2282
253.9200,10697,2282
254.0340,10695,2282
254.1479,10696,2282
254.2618,10698,2282
254.3759,10700,2282
254.4898,10698,2282
254.6038,10696,2283
254.7177,10699,2284
254.8317,10698,2282
254.9456,10695,2282
255.0595,10700,2284
255.1735,10697,2283
255.2874,10700,2283
255.4013,10698,2285
255.5152,10696,2282
255.6292,10697,2283
255.7431,10697,2282
255.8570,10695,2283
255.9709,10695,2283
256.0848,10692,2281
256.1988,10691,2282
256.3127,10693,2281
256.4278,10696,2282
256.5430,10694,2283
256.6582,10694,2281
256.7734,10691,2282
256.8885,10695,2281
257.0033,10694,2281
257.1173,10694,2281
257.2312,10690,2282
257.3452,10691,2282
257.4591,10691,2279
257.5731,10694,2281
257.6870,10691,2282
257.8009,10692,2281
257.9148,10691,2281
258.0287,10691,2281
258.1427,10692,2282
258.2566,10690,2280
258.3705,10690,2282
258.4844,10691,2281
258.5983,10691,2282
258.7123,10692,2283
258.8262,10693,2281
258.9401,10692,2280
259.0540,10694,2281
259.1680,10694,2280
259.2820,10691,2281
259.3959,10692,2282
259.5100,10696,2282
259.6239,10693,2280
259.7379,10695,2280
259.8518,10693,2281
259.9657,10694,2280
260.0797,10694,2280
260.1936,10694,2281
260.3075,10691,2281
260.4215,10693,2281
260.5354,10692,2281
260.6493,10695,2281
260.7632,10696,2281
260.8771,10696,2280
260.9911,10692,2280
261.1050,10692,2282
261.2189,10694,2281
261.3328,10693,2281
261.4467,10693,2282
261.5606,10692,2281
261.6746,10691,2281
261.7885,10690,2281
261.9024,10691,2280
262.0163,10690,2281
262.1315,10693,2282
262.2467,10689,2280
262.3619,10688,2281
262.4771,10686,2280
262.5922,10689,2280
262.7070,10688,2281
262.8210,10687,2281
262.9349,10688,2280
263.0488,10690,2280
263.1627,10688,2280
263.2766,10687,2281
263.3906,10687,2281
263.5045,10688,2280
263.6184,10688,2280
263.7323,10688,2281
263.8462,10688,2281
263.9602,10688,2281
264.0741,10688,2281
264.1880,10683,2280
264.3019,10686,2280
264.4158,10688,2280
264.5297,10687,2281
264.6437,10690,2280
264.7577,10690,2280
264.8716,10686,2280
264.9855,10690,2279
265.0995,10690,2280
265.2135,10689,2280
265.3275,10688,2281
265.4414,10688,2281
265.5553,10686,2281
265.6692,10689,2280
265.7832,10688,2280
265.8971,10686,2281
266.0110,10688,2280
266.1249,10687,2280
266.2388,10686,2281
266.3528,10683,2280
266.4667,10686,2280
266.5806,10685,2280
266.6945,10687,2281
266.8084,10684,2281
266.9224,10684,2280
267.0364,10682,2280
267.1503,10684,2280
267.2643,10684,2279
267.3782,10685,2281
267.4921,10687,2280
267.6060,10687,2280
267.7199,10687,2279
267.8351,10685,2280
267.9502,10683,2281
268.0654,10687,2280
268.1806,10685,2279
268.2958,10685,2280
268.4105,10684,2280
268.5245,10684,2280
268.6384,10684,2279
268.7523,10683,2279
268.8662,10683,2280
268.9801,10684,2280
269.0941,10685,2279
269.2080,10686,2280
269.3219,10685,2281
269.4358,10688,2280
269.5497,10686,2281
269.6637,10686,2280
269.7776,10686,2279
269.8915,10686,2281
270.0054,10688,2282
270.1194,10685,2280
270.2334,10684,2280
270.3473,10685,2279
270.4612,10685,2279
270.5752,10686,2280
270.6891,10681,2281
270.8030,10682,2281
270.9169,10685,2279
271.0309,10685,2279
271.1448,10682,2280
271.2588,10683,2279
271.3727,10685,2279
271.4867,10682,2280
271.6006,10682,2280
271.7145,10681,2280
271.8284,10682,2279
271.9424,10682,2280
272.0563,10685,2279
272.1702,10683,2280
272.2841,10685,2279
272.3980,10682,2280
272.5120,10683,2280
272.6259,10684,2280
272.7398,10687,2280
272.8537,10689,2280
272.9676,10686,2280
273.0816,10685,2279
273.1955,10686,2280
273.3094,10684,2280
273.4241,10683,2279
273.5393,10682,2281
273.6545,10684,2279
273.7697,10686,2280
273.8849,10684,2279
274.0000,10683,2281
274.1147,10687,2281
274.2287,10684,2281
274.3427,10683,2280
274.4566,10684,2279
274.5705,10684,2280
274.6844,10680,2281
274.7983,10681,2280
274.9123,10682,2280
275.0262,10685,2281
275.1401,10681,2280
275.2541,10682,2280
275.3680,10681,2280
275.4819,10682,2280
275.5958,10681,2280
275.7097,10677,2279
275.8236,10677,2278
275.9375,10678,2279
276.0515,10678,2279
276.1654,10677,2279
276.2793,10679,2278
276.3932,10679,2277
276.5072,10678,2279
276.6211,10678,2280
276.7350,10676,2278
276.8489,10679,2279
276.9628,10683,2280
277.0768,10683,2278
277.1908,10680,2279
277.3047,10681,2280
277.4187,10678,2279
277.5326,10678,2279
277.6465,10679,2279
277.7604,10678,2279
277.8744,10679,2280
277.9883,10678,2280
278.1022,10675,2280
278.2161,10680,2281
278.3301,10681,2278
278.4440,10681,2280
278.5579,10679,2280
278.6718,10680,2279
278.7857,10678,2279
278.8996,10680,2279
279.0135,10681,2279
279.1275,10682,2280
279.2427,10681,2279
279.3578,10683,2279
279.4730,10684,2280
279.5882,10679,2280
279.7033,10680,2278
279.8181,10679,2279
279.9321,10679,2278
280.0461,10678,2279
280.1600,10681,2281
280.2740,10678,2278
280.3879,10678,2279
280.5018,10681,2279
280.6157,10679,2280
280.7296,10679,2280
280.8436,10680,2281
280.9576,10678,2279
281.0715,10676,2281
281.1854,10678,2279
281.2993,10680,2278
281.4133,10677,2279
281.5272,10680,2279
281.6412,10681,2279
281.7551,10680,2279
281.8690,10677,2279
281.9829,10676,2279
282.0968,10678,2278
282.2107,10675,2278
282.3247,10676,2279
282.4386,10676,2279
282.5525,10674,2278
282.6664,10676,2279
282.7803,10678,2278
282.8943,10674,2279
283.0082,10677,2278
283.1221,10676,2277
283.2362,10674,2279
283.3501,10675,2279
283.4641,10676,2279
283.5780,10673,2277
283.6919,10677,2278
283.8058,10676,2278
283.9197,10672,2279
284.0337,10678,2278
284.1476,10676,2277
284.2615,10677,2278
284.3754,10676,2279
284.4894,10676,2279
284.6033,10676,2278
284.7172,10677,2279
284.8319,10676,2277
284.9471,10674,2278
285.0623,10673,2279
285.1774,10674,2278
285.2926,10677,2277
285.4078,10675,2277
285.5226,10672,2277
285.6365,10675,2278
285.7505,10674,2277
285.8644,10674,2277
285.9783,10675,2276
286.0922,10673,2278
286.2062,10676,2278
286.3201,10675,2279
286.4340,10676,2278
286.5479,10675,2278
286.6618,10673,2277
286.7758,10673,2277
286.8897,10677,2277
287.0038,10675,2278
287.1177,10672,2277
287.2317,10672,2277
287.3456,10676,2279
287.4596,10672,2278
287.5735,10674,2276
287.6874,10673,2277
287.8015,10672,2279
287.9155,10679,2278
